,Fuel_type,Body_type,transmission,ownerNo,brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,seat,Color,city
7510,Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLS,2019,58.9,Comprehensive,116544.0,11.0,2987,7,Grey,Jaipur
7511,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2010,3.25,Comprehensive,49580.0,16.0,1198,5,Blue,Jaipur
7512,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2017,11.95,Third Party insurance,56031.0,16.0,2179,7,White,Jaipur
7513,Diesel,MUV,Automatic,1,Kia,Kia Carens,2022,17.9,Comprehensive,15285.0,18.59550782650257,1493,7,Grey,Jaipur
7514,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2022,5.9,Third Party insurance,4437.0,19.01,1199,5,Grey,Jaipur
7515,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2018,4.1,Third Party insurance,24590.0,20.51,998,5,White,Jaipur
7516,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2022,7.0,Third Party insurance,20000.0,21.01,1197,5,Others,Jaipur
7517,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2013,3.25,Comprehensive,70456.0,18.5,1197,5,Grey,Jaipur
7518,Petrol,Sedan,Manual,1,Skoda,Skoda Slavia,2022,14.9,Third Party insurance,20000.0,19.47,999,5,White,Jaipur
7519,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2013,3.11,Third Party insurance,120000.0,18.5,1197,5,Others,Jaipur
7520,Diesel,Sedan,Manual,2,Hyundai,Hyundai Verna,2016,7.01,Third Party insurance,50889.0,23.9,1582,5,Silver,Jaipur
7521,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2012,3.71,Comprehensive,76043.0,22.38,1197,5,White,Jaipur
7522,Petrol,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2019,54.0,Comprehensive,10200.0,11.5,1991,5,White,Jaipur
7523,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2014,3.49,Comprehensive,55890.0,18.9,1197,5,Silver,Jaipur
7524,Petrol,Hatchback,Manual,2,Honda,Honda Jazz,2016,4.75,Third Party,81984.0,18.7,1199,5,Silver,Jaipur
7525,Petrol,Hatchback,Manual,2,Honda,Honda Brio,2014,2.9,Comprehensive,70123.0,19.4,1198,5,White,Jaipur
7526,Petrol,Hatchback,Manual,1,Renault,Renault KWID,2021,4.45,Third Party insurance,60000.0,22.3,799,5,Others,Jaipur
7527,Petrol,Hatchback,Manual,4,Hyundai,Hyundai i10,2010,1.8,Third Party insurance,100000.0,19.81,1086,5,Others,Jaipur
7528,Petrol,Hatchback,Manual,3,Maruti,Maruti Alto,2010,1.5,Third Party insurance,110000.0,19.7,796,5,Others,Jaipur
7529,Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2019,6.9,Third Party insurance,40000.0,21.56,1462,5,Others,Jaipur
7530,Diesel,SUV,Manual,1,Toyota,Toyota Fortuner,2018,30.0,Third Party insurance,90000.0,14.24,2755,7,White,Jaipur
7531,Petrol,Hatchback,Manual,1,Renault,Renault KWID,2017,3.6,Third Party insurance,50000.0,23.01,999,5,Others,Jaipur
7532,Petrol,Sedan,Automatic,1,Maruti,Maruti Swift Dzire,2020,7.5,Third Party insurance,50000.0,21.21,1197,5,White,Jaipur
7533,Diesel,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2013,4.75,Comprehensive,56805.0,23.4,1248,5,Silver,Jaipur
7534,Diesel,Hatchback,Manual,2,Volkswagen,Volkswagen Polo,2016,4.25,Third Party insurance,120000.0,20.14,1498,5,Others,Jaipur
7535,Petrol,Sedan,Manual,2,Honda,Honda City,2011,3.2,Third Party insurance,120000.0,17.0,1497,5,Others,Jaipur
7536,Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2019,5.0,Third Party insurance,90000.0,24.0,1186,5,White,Jaipur
7537,Diesel,Sedan,Manual,2,Volkswagen,Volkswagen Vento,2014,4.35,Third Party insurance,100000.0,20.54,1598,5,Others,Jaipur
7538,Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2015,27.5,Comprehensive,70705.0,15.0,2143,5,White,Jaipur
7539,Diesel,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2014,5.25,Comprehensive,75000.0,19.3,1248,5,Silver,Jaipur
7540,Petrol,Hatchback,Manual,1,Datsun,Datsun RediGO,2020,3.62,Third Party,17587.0,21.7,999,5,Silver,Jaipur
7541,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Santro,2019,4.55,Comprehensive,27153.0,20.3,1086,5,White,Jaipur
7542,Diesel,SUV,Manual,2,Mahindra,Mahindra Thar,2011,5.0,Third Party insurance,90000.0,16.55,2498,6,Others,Jaipur
7543,Diesel,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2012,3.8,Comprehensive,104243.0,19.3,1248,5,Others,Jaipur
7544,Petrol,Sedan,Automatic,1,Honda,Honda City,2017,8.51,Comprehensive,25791.0,18.0,1497,5,White,Jaipur
7545,Diesel,SUV,Manual,2,Toyota,Toyota Fortuner,2010,8.15,Third Party insurance,120000.0,11.5,2982,7,Others,Jaipur
7546,Diesel,Sedan,Automatic,2,Jaguar,Jaguar XF,2013,14.0,Third Party insurance,70000.0,16.36,2179,5,Red,Jaipur
7547,Petrol,SUV,Manual,1,Hyundai,Hyundai Venue,2021,6.9,Third Party insurance,60000.0,17.52,1197,5,White,Jaipur
7548,Petrol,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2021,8.9,Comprehensive,17580.0,17.03,1462,5,White,Jaipur
7549,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2012,3.3,Third Party insurance,120000.0,15.1,2179,7,Others,Jaipur
7550,Petrol,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2020,8.11,Third Party insurance,39109.0,17.03,1462,5,White,Jaipur
7551,Petrol,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2022,8.95,Third Party insurance,20000.0,17.03,1462,5,Others,Jaipur
7552,Diesel,SUV,Manual,1,Honda,Honda WR-V,2018,6.5,Third Party insurance,80000.0,25.5,1498,5,Black,Jaipur
7553,Petrol,Hatchback,Manual,1,Maruti,Maruti Celerio,2022,5.9,Third Party insurance,20000.0,25.24,998,5,Others,Jaipur
7554,Diesel,MUV,Manual,2,Toyota,Toyota Innova,2007,3.0,Third Party insurance,120000.0,12.8,2494,8,Silver,Jaipur
7555,Petrol,Hatchback,Manual,2,Maruti,Maruti Swift,2015,4.45,Third Party insurance,70000.0,22.0,1197,5,Others,Jaipur
7556,Petrol,Sedan,Automatic,2,Honda,Honda City,2016,6.5,Third Party insurance,70000.0,18.0,1497,5,Others,Jaipur
7557,Petrol,Hatchback,Manual,3,Maruti,Maruti Alto,2010,1.5,Third Party insurance,110000.0,19.7,796,5,Others,Jaipur
7558,Petrol,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2011,3.0,Third Party insurance,70000.0,16.47,1198,5,Red,Jaipur
7559,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2019,18.9,Comprehensive,9106.0,17.1,1956,5,White,Jaipur
7560,Petrol,Sedan,Manual,1,Honda,Honda Amaze,2019,5.79,Third Party insurance,90239.0,19.5,1199,5,White,Jaipur
7561,Petrol,Hatchback,Manual,2,Hyundai,Hyundai EON,2014,2.98,Comprehensive,31608.0,20.3,998,5,White,Jaipur
7562,Petrol,Sedan,Manual,1,Honda,Honda Amaze,2019,5.95,Third Party insurance,58740.0,19.5,1199,5,Brown,Jaipur
7563,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2018,5.44,Third Party,73398.0,18.6,1197,5,White,Jaipur
7564,Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2019,8.95,Third Party,29393.0,20.28,1462,5,Black,Jaipur
7565,Diesel,Hatchback,Manual,2,Volkswagen,Volkswagen Polo,2016,4.25,Third Party insurance,100000.0,20.14,1498,5,Others,Jaipur
7566,Petrol,Sedan,Manual,2,Honda,Honda New Accord,2008,2.44,Third Party insurance,150000.0,12.8,2354,5,Others,Jaipur
